Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
loss,46.644000000000005,16.8,237.23999999999995,49.424,113.4,2.1268219999999998,54.022000000000006,23.8,78.82000000000001,49.212,136.3,2.32968
loss,39.8,5.6,99.2,45.212,144.98,1.7117,57.222,43.2,143.22,54.812,138.54000000000002,2.2252
loss,37.222,5.2,107.22,52.412,108.2,2.32934,68.4,6.0,35.8,50.6,157.26,2.50426
win,55.0,40.8,121.4,46.6,179.62,2.5709199999999996,64.022,68.8,137.02,56.012,118.3,2.96946
win,72.4,5.4,62.2,59.2,122.6,2.443472,44.0,37.6,121.2,46.6,124.17999999999999,2.917766
win,37.622,7.2,92.42,51.824,114.11999999999998,2.3314000000000004,58.644000000000005,9.8,86.64000000000001,50.824,97.55999999999999,2.6666199999999995
loss,38.8,36.4,97.0,40.0,161.48000000000002,2.19048,62.2,30.0,75.8,54.2,155.35999999999999,2.53594
loss,46.6,38.8,95.2,43.4,152.6,2.35742,68.4,15.0,124.4,51.2,161.12,3.226956
loss,42.0,51.4,108.8,46.012,152.24,1.971664,52.2,20.2,259.2,50.8,132.38,2.75338
win,68.6,12.2,58.6,49.2,110.32000000000001,2.16112,20.222,1.8,132.42000000000002,52.424,73.9,1.62716
win,66.2,22.8,126.4,53.4,122.25999999999999,2.81492,47.8,36.8,218.2,49.8,169.68,2.04666
loss,33.8,25.0,136.8,50.4,153.82,2.37742,49.0,31.0,148.8,44.6,133.0,2.53806
win,61.222,7.8,114.62,46.612,141.06,2.08118,44.0,34.8,184.2,47.2,141.24,2.16236
win,61.6,26.2,134.6,48.2,161.26,2.32596,32.2,13.0,88.0,46.6,198.28,1.9774999999999998
loss,41.2,10.2,70.4,45.4,182.7,1.7880399999999999,58.822,15.6,110.82000000000001,49.612,108.44000000000001,3.05778
win,76.2,100.4,124.8,56.412,115.14000000000001,3.054082,20.4,10.0,19.6,38.212,102.52000000000001,1.557274
loss,39.2,25.8,51.4,49.8,134.48000000000002,2.39878,67.022,15.6,120.82000000000001,49.012,119.11999999999998,2.6967600000000003
win,91.0,10.8,65.0,46.0,158.42000000000002,3.1398800000000002,20.0,4.2,27.4,40.8,124.84,1.16708
loss,55.4,8.2,23.8,41.6,143.28000000000003,3.26348,47.488,0.6,127.08,50.848,43.339999999999996,2.45694
loss,57.84400000000001,9.0,130.04000000000002,53.824,81.00000000000001,3.3381600000000007,52.6,11.4,54.4,57.4,161.73999999999998,2.6529560000000005
